hệ cơ sở dữ liệu	cơ sở dữ liệu
cấu trúc dữ liệu	ctdl
mạng nơ ron nhân tạo	mạng nơ-ron
học chuyển giao	transfer learning
xử lý ngôn ngữ tự nhiên	xlnn
học có giám sát	supervised learning
học không giám sát	unsupervised learning
học tăng cường	reinforcement learning
