tổng sản phẩm quốc nội	gdp
chỉ số giá tiêu dùng	cpi
cán cân thương mại	trade balance
đầu tư trực tiếp nước ngoài	fdi
lạm phát	inflation
tỷ giá hối đoái	exchange rate
năng suất lao động	labour productivity
